name, 0.94, 0.92, [[269, 13], [359, 13], [359, 52], [269, 52]], textual
date-time, 1.0, 0.47, [[391, 49], [486, 49], [486, 84], [391, 84]], textual
email, 1.0, 0.74, [[224, 103], [408, 103], [408, 149], [224, 149]], textual
location, 0.99, 0.1, [[273, 150], [390, 150], [390, 187], [273, 187]], textual
location, 0.99, 0.1, [[274, 162], [394, 162], [394, 198], [274, 198]], textual
location, 0.99, 0.1, [[278, 176], [394, 176], [394, 208], [278, 208]], textual
location, 0.99, 0.1, [[251, 199], [471, 199], [471, 258], [251, 258]], textual
location, 0.99, 0.1, [[256, 226], [477, 226], [477, 287], [256, 287]], textual
location, 0.99, 0.1, [[288, 540], [543, 540], [543, 611], [288, 611]], textual
location, 0.99, 0.1, [[294, 558], [594, 558], [594, 642], [294, 642]], textual
