name, 0.53, 0.92, [[1513, 24], [2222, 24], [2222, 154], [1513, 154]], textual
location, 0.99, 0.1, [[141, 97], [1223, 97], [1223, 223], [141, 223]], textual
location, 0.44, 0.1, [[1585, 166], [2157, 166], [2157, 328], [1585, 328]], textual
location, 0.99, 0.1, [[1561, 344], [2174, 344], [2174, 401], [1561, 401]], textual
location, 0.99, 0.1, [[1562, 421], [2173, 421], [2173, 474], [1562, 474]], textual
location, 0.98, 0.1, [[131, 431], [436, 431], [436, 488], [131, 488]], textual
location, 0.99, 0.1, [[763, 581], [1756, 581], [1756, 728], [763, 728]], textual
location, 0.59, 0.1, [[1036, 829], [1557, 829], [1557, 877], [1036, 877]], textual
location, 0.97, 0.1, [[1423, 891], [2015, 891], [2015, 947], [1423, 947]], textual
location, 0.24, 0.1, [[674, 1152], [736, 1152], [736, 1198], [674, 1198]], textual
location, 0.55, 0.1, [[909, 1152], [964, 1152], [964, 1201], [909, 1201]], textual
date-time, 0.83, 0.47, [[1265, 1156], [1313, 1156], [1313, 1205], [1265, 1205]], textual
date-time, 0.65, 0.47, [[1348, 1159], [1396, 1159], [1396, 1205], [1348, 1205]], textual
location, 0.56, 0.1, [[1506, 1159], [1562, 1159], [1562, 1205], [1506, 1205]], textual
location, 0.23, 0.1, [[1690, 1147], [1758, 1147], [1758, 1207], [1690, 1207]], textual
location, 0.3, 0.1, [[1982, 1151], [2061, 1151], [2061, 1213], [1982, 1213]], textual
location, 0.3, 0.1, [[2094, 1163], [2159, 1163], [2159, 1201], [2094, 1201]], textual
location, 0.36, 0.1, [[2194, 1163], [2263, 1163], [2263, 1201], [2194, 1201]], textual
date-time, 0.94, 0.47, [[886, 1185], [970, 1185], [970, 1252], [886, 1252]], textual
location, 0.99, 0.1, [[273, 1198], [463, 1198], [463, 1236], [273, 1236]], textual
date-time, 0.84, 0.47, [[563, 1194], [632, 1194], [632, 1236], [563, 1236]], textual
date-time, 0.67, 0.47, [[663, 1194], [750, 1194], [750, 1236], [663, 1236]], textual
date-time, 0.95, 0.47, [[791, 1198], [860, 1198], [860, 1239], [791, 1239]], textual
date-time, 1.0, 0.47, [[992, 1194], [1088, 1194], [1088, 1246], [992, 1246]], textual
date-time, 1.0, 0.47, [[1119, 1194], [1206, 1194], [1206, 1246], [1119, 1246]], textual
date-time, 0.96, 0.47, [[1244, 1194], [1316, 1194], [1316, 1250], [1244, 1250]], textual
date-time, 0.96, 0.47, [[1983, 1198], [2063, 1198], [2063, 1250], [1983, 1250]], textual
date-time, 0.95, 0.47, [[2090, 1201], [2163, 1201], [2163, 1250], [2090, 1250]], textual
date-time, 0.9, 0.47, [[2194, 1205], [2263, 1205], [2263, 1246], [2194, 1246]], textual
name, 0.94, 0.92, [[881, 1215], [978, 1215], [978, 1361], [881, 1361]], textual
location, 0.99, 0.1, [[273, 1236], [397, 1236], [397, 1271], [273, 1271]], textual
date-time, 0.84, 0.47, [[563, 1229], [629, 1229], [629, 1271], [563, 1271]], textual
date-time, 0.57, 0.47, [[660, 1232], [757, 1232], [757, 1278], [660, 1278]], textual
date-time, 0.95, 0.47, [[791, 1232], [857, 1232], [857, 1274], [791, 1274]], textual
date-time, 0.99, 0.47, [[1002, 1232], [1085, 1232], [1085, 1274], [1002, 1274]], textual
date-time, 0.99, 0.47, [[1126, 1236], [1206, 1236], [1206, 1274], [1126, 1274]], textual
date-time, 0.95, 0.47, [[1244, 1229], [1316, 1229], [1316, 1285], [1244, 1285]], textual
date-time, 0.9, 0.47, [[2191, 1232], [2260, 1232], [2260, 1292], [2191, 1292]], textual
date-time, 0.98, 0.47, [[558, 1259], [634, 1259], [634, 1310], [558, 1310]], textual
date-time, 0.95, 0.47, [[791, 1264], [860, 1264], [860, 1319], [791, 1319]], textual
date-time, 1.0, 0.47, [[1002, 1264], [1085, 1264], [1085, 1316], [1002, 1316]], textual
date-time, 0.99, 0.47, [[1126, 1264], [1209, 1264], [1209, 1316], [1126, 1316]], textual
date-time, 1.0, 0.47, [[1341, 1264], [1403, 1264], [1403, 1392], [1341, 1392]], textual
location, 0.99, 0.1, [[270, 1267], [352, 1267], [352, 1305], [270, 1305]], textual
date-time, 0.79, 0.47, [[660, 1267], [757, 1267], [757, 1312], [660, 1312]], textual
date-time, 0.94, 0.47, [[2184, 1264], [2270, 1264], [2270, 1365], [2184, 1365]], textual
date-time, 1.0, 0.47, [[1121, 1290], [1211, 1290], [1211, 1352], [1121, 1352]], textual
location, 0.99, 0.1, [[273, 1302], [404, 1302], [404, 1340], [273, 1340]], textual
date-time, 0.98, 0.47, [[567, 1302], [632, 1302], [632, 1344], [567, 1344]], textual
date-time, 0.96, 0.47, [[663, 1302], [753, 1302], [753, 1344], [663, 1344]], textual
date-time, 0.95, 0.47, [[791, 1302], [857, 1302], [857, 1344], [791, 1344]], textual
date-time, 0.99, 0.47, [[1002, 1302], [1081, 1302], [1081, 1344], [1002, 1344]], textual
name, 0.61, 0.92, [[269, 1333], [409, 1333], [409, 1379], [269, 1379]], textual
date-time, 0.97, 0.47, [[652, 1325], [758, 1325], [758, 1387], [652, 1387]], textual
date-time, 0.95, 0.47, [[891, 1330], [961, 1330], [961, 1386], [891, 1386]], textual
date-time, 0.99, 0.47, [[1002, 1333], [1085, 1333], [1085, 1386], [1002, 1386]], textual
date-time, 0.99, 0.47, [[1118, 1328], [1211, 1328], [1211, 1391], [1118, 1391]], textual
date-time, 0.98, 0.47, [[567, 1337], [629, 1337], [629, 1379], [567, 1379]], textual
date-time, 0.94, 0.47, [[791, 1337], [857, 1337], [857, 1382], [791, 1382]], textual
date-time, 0.94, 0.47, [[2090, 1344], [2159, 1344], [2159, 1386], [2090, 1386]], textual
date-time, 0.92, 0.47, [[2194, 1347], [2260, 1347], [2260, 1386], [2194, 1386]], textual
name, 0.86, 0.92, [[273, 1372], [418, 1372], [418, 1410], [273, 1410]], textual
date-time, 0.84, 0.47, [[563, 1372], [629, 1372], [629, 1410], [563, 1410]], textual
date-time, 0.56, 0.47, [[660, 1372], [753, 1372], [753, 1410], [660, 1410]], textual
date-time, 0.97, 0.47, [[795, 1379], [853, 1379], [853, 1406], [795, 1406]], textual
date-time, 0.96, 0.47, [[898, 1379], [954, 1379], [954, 1406], [898, 1406]], textual
date-time, 0.95, 0.47, [[1016, 1379], [1078, 1379], [1078, 1406], [1016, 1406]], textual
date-time, 0.89, 0.47, [[1123, 1375], [1206, 1375], [1206, 1413], [1123, 1413]], textual
date-time, 1.0, 0.47, [[1244, 1375], [1310, 1375], [1310, 1413], [1244, 1413]], textual
date-time, 0.97, 0.47, [[1351, 1375], [1389, 1375], [1389, 1410], [1351, 1410]], textual
date-time, 0.97, 0.47, [[1434, 1375], [1472, 1375], [1472, 1410], [1434, 1410]], textual
date-time, 0.89, 0.47, [[1517, 1375], [1555, 1375], [1555, 1410], [1517, 1410]], textual
date-time, 0.95, 0.47, [[1700, 1375], [1766, 1375], [1766, 1413], [1700, 1413]], textual
date-time, 0.95, 0.47, [[1887, 1375], [1949, 1375], [1949, 1413], [1887, 1413]], textual
date-time, 0.95, 0.47, [[1981, 1370], [2054, 1370], [2054, 1418], [1981, 1418]], textual
date-time, 0.93, 0.47, [[2090, 1379], [2156, 1379], [2156, 1417], [2090, 1417]], textual
date-time, 0.93, 0.47, [[2194, 1379], [2256, 1379], [2256, 1417], [2194, 1417]], textual
location, 0.24, 0.1, [[1002, 1518], [1057, 1518], [1057, 1563], [1002, 1563]], textual
date-time, 0.83, 0.47, [[1410, 1525], [1448, 1525], [1448, 1560], [1410, 1560]], textual
date-time, 0.65, 0.47, [[1500, 1521], [1551, 1521], [1551, 1567], [1500, 1567]], textual
location, 0.21, 0.1, [[1669, 1521], [1721, 1521], [1721, 1563], [1669, 1563]], textual
location, 0.23, 0.1, [[1835, 1525], [1887, 1525], [1887, 1567], [1835, 1567]], textual
location, 0.3, 0.1, [[2007, 1521], [2073, 1521], [2073, 1563], [2007, 1563]], textual
location, 0.36, 0.1, [[2187, 1525], [2260, 1525], [2260, 1567], [2187, 1567]], textual
name, 0.94, 0.92, [[287, 1560], [784, 1560], [784, 1605], [287, 1605]], textual
date-time, 0.7, 0.47, [[895, 1560], [961, 1560], [961, 1601], [895, 1601]], textual
date-time, 0.78, 0.47, [[1116, 1560], [1168, 1560], [1168, 1608], [1116, 1608]], textual
date-time, 0.94, 0.47, [[1399, 1556], [1462, 1556], [1462, 1685], [1399, 1685]], textual
date-time, 0.72, 0.47, [[1574, 1551], [1649, 1551], [1649, 1756], [1574, 1756]], textual
date-time, 0.94, 0.47, [[992, 1563], [1064, 1563], [1064, 1605], [992, 1605]], textual
date-time, 0.86, 0.47, [[1202, 1563], [1268, 1563], [1268, 1608], [1202, 1608]], textual
date-time, 0.96, 0.47, [[1310, 1563], [1375, 1563], [1375, 1608], [1310, 1608]], textual
phone, 0.47, 0.6, [[1935, 1563], [1980, 1563], [1980, 1932], [1935, 1932]], textual
date-time, 0.99, 0.47, [[2111, 1567], [2159, 1567], [2159, 1612], [2111, 1612]], textual
date-time, 0.92, 0.47, [[2194, 1570], [2263, 1570], [2263, 1612], [2194, 1612]], textual
location, 0.85, 0.1, [[273, 1594], [702, 1594], [702, 1636], [273, 1636]], textual
date-time, 0.94, 0.47, [[895, 1594], [967, 1594], [967, 1643], [895, 1643]], textual
date-time, 0.94, 0.47, [[992, 1598], [1064, 1598], [1064, 1636], [992, 1636]], textual
date-time, 0.89, 0.47, [[1116, 1594], [1168, 1594], [1168, 1643], [1116, 1643]], textual
date-time, 0.9, 0.47, [[1202, 1598], [1268, 1598], [1268, 1643], [1202, 1643]], textual
date-time, 0.97, 0.47, [[1310, 1598], [1372, 1598], [1372, 1643], [1310, 1643]], textual
date-time, 0.72, 0.47, [[2104, 1594], [2166, 1594], [2166, 1762], [2104, 1762]], textual
date-time, 0.91, 0.47, [[2194, 1608], [2260, 1608], [2260, 1650], [2194, 1650]], textual
name, 0.84, 0.92, [[287, 1629], [760, 1629], [760, 1671], [287, 1671]], textual
date-time, 0.95, 0.47, [[909, 1629], [961, 1629], [961, 1674], [909, 1674]], textual
date-time, 0.9, 0.47, [[992, 1633], [1061, 1633], [1061, 1674], [992, 1674]], textual
date-time, 0.85, 0.47, [[1216, 1633], [1268, 1633], [1268, 1678], [1216, 1678]], textual
date-time, 0.88, 0.47, [[1310, 1633], [1372, 1633], [1372, 1678], [1310, 1678]], textual
date-time, 0.9, 0.47, [[2194, 1636], [2260, 1636], [2260, 1678], [2194, 1678]], textual
date-time, 0.84, 0.47, [[895, 1664], [961, 1664], [961, 1706], [895, 1706]], textual
date-time, 0.94, 0.47, [[1197, 1656], [1269, 1656], [1269, 1711], [1197, 1711]], textual
date-time, 0.93, 0.47, [[992, 1668], [1061, 1668], [1061, 1709], [992, 1709]], textual
date-time, 0.95, 0.47, [[1306, 1668], [1372, 1668], [1372, 1709], [1306, 1709]], textual
date-time, 1.0, 0.47, [[1403, 1661], [1458, 1661], [1458, 1751], [1403, 1751]], textual
name, 0.99, 0.92, [[432, 1671], [698, 1671], [698, 1706], [432, 1706]], textual
date-time, 0.9, 0.47, [[2194, 1674], [2256, 1674], [2256, 1720], [2194, 1720]], textual
name, 0.91, 0.92, [[269, 1699], [660, 1699], [660, 1741], [269, 1741]], textual
date-time, 0.84, 0.47, [[895, 1702], [957, 1702], [957, 1744], [895, 1744]], textual
date-time, 0.88, 0.47, [[992, 1702], [1057, 1702], [1057, 1744], [992, 1744]], textual
date-time, 0.9, 0.47, [[1199, 1702], [1265, 1702], [1265, 1748], [1199, 1748]], textual
date-time, 0.92, 0.47, [[1306, 1702], [1368, 1702], [1368, 1748], [1306, 1748]], textual
date-time, 0.91, 0.47, [[2189, 1701], [2262, 1701], [2262, 1756], [2189, 1756]], textual
date-time, 0.96, 0.47, [[1116, 1734], [1164, 1734], [1164, 1779], [1116, 1779]], textual
date-time, 1.0, 0.47, [[1406, 1734], [1451, 1734], [1451, 1782], [1406, 1782]], textual
name, 0.98, 0.92, [[283, 1737], [663, 1737], [663, 1782], [283, 1782]], textual
date-time, 0.98, 0.47, [[895, 1737], [957, 1737], [957, 1775], [895, 1775]], textual
date-time, 0.9, 0.47, [[995, 1737], [1061, 1737], [1061, 1779], [995, 1779]], textual
date-time, 0.85, 0.47, [[1202, 1737], [1265, 1737], [1265, 1775], [1202, 1775]], textual
date-time, 0.93, 0.47, [[1303, 1737], [1368, 1737], [1368, 1775], [1303, 1775]], textual
date-time, 1.0, 0.47, [[2111, 1744], [2156, 1744], [2156, 1789], [2111, 1789]], textual
date-time, 0.9, 0.47, [[2191, 1744], [2256, 1744], [2256, 1789], [2191, 1789]], textual
location, 0.95, 0.1, [[270, 1772], [653, 1772], [653, 1817], [270, 1817]], textual
date-time, 0.84, 0.47, [[895, 1775], [957, 1775], [957, 1814], [895, 1814]], textual
date-time, 0.9, 0.47, [[992, 1772], [1057, 1772], [1057, 1814], [992, 1814]], textual
date-time, 0.89, 0.47, [[1202, 1772], [1265, 1772], [1265, 1817], [1202, 1817]], textual
date-time, 0.92, 0.47, [[1303, 1772], [1368, 1772], [1368, 1814], [1303, 1814]], textual
date-time, 0.98, 0.47, [[1406, 1772], [1451, 1772], [1451, 1817], [1406, 1817]], textual
date-time, 0.91, 0.47, [[2194, 1779], [2256, 1779], [2256, 1824], [2194, 1824]], textual
name, 0.99, 0.92, [[283, 1807], [681, 1807], [681, 1842], [283, 1842]], textual
date-time, 0.84, 0.47, [[891, 1807], [957, 1807], [957, 1845], [891, 1845]], textual
date-time, 0.92, 0.47, [[992, 1807], [1061, 1807], [1061, 1849], [992, 1849]], textual
date-time, 0.88, 0.47, [[1116, 1807], [1164, 1807], [1164, 1849], [1116, 1849]], textual
date-time, 0.92, 0.47, [[1202, 1807], [1265, 1807], [1265, 1852], [1202, 1852]], textual
date-time, 0.97, 0.47, [[1306, 1807], [1368, 1807], [1368, 1852], [1306, 1852]], textual
date-time, 1.0, 0.47, [[1406, 1803], [1451, 1803], [1451, 1856], [1406, 1856]], textual
date-time, 0.9, 0.47, [[2191, 1814], [2256, 1814], [2256, 1859], [2191, 1859]], textual
name, 0.66, 0.92, [[273, 1838], [740, 1838], [740, 1880], [273, 1880]], textual
date-time, 0.83, 0.47, [[895, 1845], [957, 1845], [957, 1883], [895, 1883]], textual
date-time, 0.92, 0.47, [[992, 1845], [1061, 1845], [1061, 1883], [992, 1883]], textual
date-time, 0.41, 0.47, [[1102, 1842], [1164, 1842], [1164, 1883], [1102, 1883]], textual
date-time, 0.84, 0.47, [[1202, 1842], [1265, 1842], [1265, 1887], [1202, 1887]], textual
date-time, 0.93, 0.47, [[1306, 1842], [1368, 1842], [1368, 1887], [1306, 1887]], textual
date-time, 0.99, 0.47, [[1406, 1842], [1451, 1842], [1451, 1887], [1406, 1887]], textual
date-time, 0.87, 0.47, [[1814, 1845], [1876, 1845], [1876, 1887], [1814, 1887]], textual
date-time, 0.9, 0.47, [[2194, 1849], [2256, 1849], [2256, 1894], [2194, 1894]], textual
date-time, 0.98, 0.47, [[895, 1876], [957, 1876], [957, 1915], [895, 1915]], textual
date-time, 0.93, 0.47, [[992, 1876], [1061, 1876], [1061, 1918], [992, 1918]], textual
date-time, 0.65, 0.47, [[1113, 1876], [1161, 1876], [1161, 1922], [1113, 1922]], textual
date-time, 0.99, 0.47, [[1303, 1876], [1368, 1876], [1368, 1918], [1303, 1918]], textual
date-time, 1.0, 0.47, [[1406, 1876], [1455, 1876], [1455, 1922], [1406, 1922]], textual
location, 0.78, 0.1, [[287, 1880], [656, 1880], [656, 1915], [287, 1915]], textual
date-time, 0.89, 0.47, [[1193, 1867], [1263, 1867], [1263, 1924], [1193, 1924]], textual
date-time, 0.98, 0.47, [[1676, 1880], [1714, 1880], [1714, 2092], [1676, 2092]], textual
date-time, 0.78, 0.47, [[1828, 1883], [1876, 1883], [1876, 1929], [1828, 1929]], textual
date-time, 0.91, 0.47, [[2194, 1883], [2256, 1883], [2256, 1929], [2194, 1929]], textual
name, 0.76, 0.92, [[273, 1908], [719, 1908], [719, 1953], [273, 1953]], textual
date-time, 0.91, 0.47, [[905, 1911], [957, 1911], [957, 1956], [905, 1956]], textual
date-time, 0.91, 0.47, [[992, 1911], [1057, 1911], [1057, 1956], [992, 1956]], textual
date-time, 0.97, 0.47, [[1116, 1911], [1164, 1911], [1164, 1956], [1116, 1956]], textual
date-time, 0.89, 0.47, [[1213, 1911], [1265, 1911], [1265, 1956], [1213, 1956]], textual
date-time, 0.43, 0.47, [[1306, 1911], [1368, 1911], [1368, 1953], [1306, 1953]], textual
date-time, 0.87, 0.47, [[1403, 1908], [1455, 1908], [1455, 1998], [1403, 1998]], textual
